,1.0-20.0,4.0-14.0,4.0-40.0
2019-12-01 15:15:00.000,6.85325693035e-10,2.30376908615e-10,2.62705366499e-10
2019-12-01 15:30:00.000,6.62245923794e-10,2.14895202071e-10,2.62671384392e-10
2019-12-01 15:45:00.000,6.65734235411e-10,2.40206084834e-10,3.13474653334e-10
2019-12-01 16:00:00.000,6.84567930931e-10,2.66674662974e-10,3.41407022909e-10
2019-12-01 16:15:00.000,6.9477242987e-10,2.92262497887e-10,3.42459744308e-10
2019-12-01 16:30:00.000,6.60953574718e-10,2.25348918864e-10,2.59815680007e-10
2019-12-01 16:45:00.000,6.50881455597e-10,2.16550305727e-10,2.44153267021e-10
2019-12-01 17:00:00.000,6.65070502191e-10,2.33393747966e-10,2.60941966185e-10
2019-12-01 17:15:00.000,6.92445944484e-10,2.77951501293e-10,3.06280601424e-10
2019-12-01 17:30:00.000,6.77425954606e-10,2.06041076703e-10,2.3427477587e-10
2019-12-01 17:45:00.000,6.70782918969e-10,2.0677058829e-10,2.35254245407e-10
2019-12-01 18:00:00.000,6.70058436093e-10,1.91099548601e-10,2.23072314362e-10
2019-12-01 18:15:00.000,7.11584653749e-10,2.60017563359e-10,2.90736358757e-10
2019-12-01 18:30:00.000,7.23239643152e-10,3.00080380512e-10,3.26976792406e-10
2019-12-01 18:45:00.000,7.17329967283e-10,2.79361186425e-10,3.09498191237e-10
2019-12-01 19:00:00.000,8.41879959557e-10,2.49485222717e-10,2.80504198528e-10
2019-12-01 19:15:00.000,8.33584878435e-10,2.25601941476e-10,2.53775942359e-10
2019-12-01 19:30:00.000,7.11584019845e-10,2.41494437195e-10,2.69679153439e-10
2019-12-01 19:45:00.000,7.4366399923e-10,3.00645348152e-10,3.28216909925e-10
2019-12-01 20:00:00.000,7.50990202638e-10,2.87045000097e-10,3.18924437926e-10
2019-12-01 20:15:00.000,7.26475672877e-10,1.96929501347e-10,2.26127828303e-10
2019-12-01 20:30:00.000,7.42728848593e-10,2.22894137003e-10,2.49474745217e-10
2019-12-01 20:45:00.000,7.68164904771e-10,2.92019612114e-10,3.19807201159e-10
