,4.0-14.0
2019-12-01 23:30:00,4.80067030606e-09
2019-12-01 23:45:00,4.67120465789e-09
2019-12-02 00:00:00,4.23393448852e-09
2019-12-02 00:15:00,3.34159834737e-09
2019-12-02 00:30:00,3.16241291597e-09
2019-12-02 00:45:00,3.25041267086e-09
2019-12-02 01:00:00,3.46780624483e-09
2019-12-02 01:15:00,3.4419250282e-09
2019-12-02 01:30:00,3.15215570727e-09
2019-12-02 01:45:00,3.64139090876e-09
2019-12-02 02:00:00,3.52801189045e-09
2019-12-02 02:15:00,4.46810263642e-09
2019-12-02 02:30:00,4.22824835061e-09
2019-12-02 02:45:00,3.10043819781e-09
2019-12-02 03:00:00,3.14299836388e-09
2019-12-02 03:15:00,3.05469449736e-09
2019-12-02 03:30:00,3.11313722582e-09
2019-12-02 03:45:00,3.52547711821e-09
2019-12-02 04:00:00,4.69164168507e-09
2019-12-02 04:15:00,5.89781399684e-09
2019-12-02 04:30:00,6.25492692091e-09
2019-12-02 04:45:00,6.8144269257e-09
2019-12-02 05:00:00,7.33844684855e-09
2019-12-02 05:15:00,8.57459727878e-09
2019-12-02 05:30:00,9.86137538041e-09
2019-12-02 05:45:00,1.14568691447e-08
2019-12-02 06:00:00,1.38612929338e-08
2019-12-02 06:15:00,1.53975413224e-08
2019-12-02 06:30:00,1.52530872793e-08
2019-12-02 06:45:00,1.5293388048e-08
2019-12-02 07:00:00,1.45195862111e-08
2019-12-02 07:15:00,1.53558352646e-08
2019-12-02 07:30:00,1.55406651034e-08
2019-12-02 07:45:00,1.58426879868e-08
2019-12-02 08:00:00,1.61811173656e-08
2019-12-02 08:15:00,1.61874054638e-08
2019-12-02 08:30:00,1.582646987e-08
2019-12-02 08:45:00,1.66990788055e-08
2019-12-02 09:00:00,1.62717114503e-08
2019-12-02 09:15:00,1.68636535248e-08
2019-12-02 09:30:00,1.91696606863e-08
2019-12-02 09:45:00,1.82884842816e-08
2019-12-02 10:00:00,1.5747307801e-08
2019-12-02 10:15:00,1.58582293875e-08
2019-12-02 10:30:00,1.56287867017e-08
2019-12-02 10:45:00,1.56147242373e-08
2019-12-02 11:00:00,1.5642708388e-08
2019-12-02 11:15:00,1.60451808591e-08
2019-12-02 11:30:00,1.61951837073e-08
2019-12-02 11:45:00,1.56135001186e-08
2019-12-02 12:00:00,1.5618234204e-08
2019-12-02 12:15:00,1.5678761102e-08
2019-12-02 12:30:00,1.50257665072e-08
2019-12-02 12:45:00,1.48160902425e-08
2019-12-02 13:00:00,1.48909309574e-08
2019-12-02 13:15:00,1.58778608763e-08
2019-12-02 13:30:00,1.57661517316e-08
2019-12-02 13:45:00,1.59241642375e-08
2019-12-02 14:00:00,1.56158181995e-08
2019-12-02 14:15:00,1.54081209379e-08
2019-12-02 14:30:00,1.55215175188e-08
2019-12-02 14:45:00,1.54940434003e-08
2019-12-02 15:00:00,1.52446011851e-08
2019-12-02 15:15:00,1.53855053196e-08
2019-12-02 15:30:00,1.59871434356e-08
2019-12-02 15:45:00,1.60104672259e-08
2019-12-02 16:00:00,1.58903122942e-08
2019-12-02 16:15:00,1.53317090428e-08
2019-12-02 16:30:00,1.55476793084e-08
2019-12-02 16:45:00,1.5456203503e-08
2019-12-02 17:00:00,1.55051622329e-08
2019-12-02 17:15:00,1.55658575624e-08
2019-12-02 17:30:00,1.50396568043e-08
2019-12-02 17:45:00,1.44335392563e-08
2019-12-02 18:00:00,1.45238554796e-08
2019-12-02 18:15:00,1.50046334422e-08
2019-12-02 18:30:00,1.44874078414e-08
2019-12-02 18:45:00,1.40794202791e-08
2019-12-02 19:00:00,1.40263787803e-08
2019-12-02 19:15:00,1.33206128208e-08
2019-12-02 19:30:00,1.3543179222e-08
2019-12-02 19:45:00,1.37739773111e-08
2019-12-02 20:00:00,1.27624372225e-08
2019-12-02 20:15:00,1.26561406805e-08
2019-12-02 20:30:00,1.28964370338e-08
2019-12-02 20:45:00,1.1999818806e-08
2019-12-02 21:00:00,1.24862290743e-08
2019-12-02 21:15:00,1.19573238846e-08
2019-12-02 21:30:00,1.21558121217e-08
2019-12-02 21:45:00,9.72457728227e-09
2019-12-02 22:00:00,8.16605250226e-09
2019-12-02 22:15:00,8.04395356241e-09
2019-12-02 22:30:00,7.68390634997e-09
2019-12-02 22:45:00,7.18599253617e-09
2019-12-02 23:00:00,7.92744459165e-09
2019-12-02 23:15:00,7.63502426052e-09
2019-12-02 23:30:00,6.67045031219e-09
2019-12-02 23:45:00,5.55676226456e-09
2019-12-03 00:00:00,4.38915293482e-09
2019-12-03 00:15:00,4.07763556342e-09
2019-12-03 00:30:00,5.31410485001e-09
2019-12-03 00:45:00,5.35950228469e-09
2019-12-03 01:00:00,3.44934170424e-09
