,1.0-20.0,4.0-14.0,4.0-40.0
2019-12-24 16:25:18.299000,4.25196917158e-08,8.85117646053e-09,9.11427465223e-09
2019-12-24 16:40:18.299000,3.70830073218e-08,7.22668109262e-09,7.54032993322e-09
2019-12-24 16:55:18.299000,3.5424150783e-08,6.77788293001e-09,7.06268414874e-09
2019-12-24 17:10:18.299000,3.59858637815e-08,6.77196303352e-09,7.05753442062e-09
2019-12-24 17:25:18.299000,3.82352159935e-08,9.38716822546e-09,9.60709841941e-09
2019-12-24 17:40:18.299000,3.73541124328e-08,9.07000017731e-09,9.27357304904e-09
2019-12-24 17:55:18.299000,3.48086914744e-08,5.88993211044e-09,6.06811523991e-09
2019-12-24 18:10:18.299000,3.59071110741e-08,6.74766157266e-09,6.96216475316e-09
2019-12-24 18:25:18.299000,3.46279684927e-08,6.51042439866e-09,6.73042825817e-09
2019-12-24 18:40:18.299000,3.60024165874e-08,6.03405878559e-09,6.23129615903e-09
2019-12-24 18:55:18.299000,3.87755096297e-08,7.27368398678e-09,7.4829272567e-09
2019-12-24 19:10:18.299000,3.87459185589e-08,7.6980492365e-09,7.9670661337e-09
2019-12-24 19:25:18.299000,3.65886943347e-08,7.47723516032e-09,7.74388683415e-09
2019-12-24 19:40:18.299000,3.92526595453e-08,9.04628151858e-09,9.28125174894e-09
2019-12-24 19:55:18.299000,3.90273168306e-08,8.32569068129e-09,8.55301758798e-09
2019-12-24 20:10:18.299000,4.00335741007e-08,9.37104064388e-09,9.61698721153e-09
2019-12-24 20:25:18.299000,4.44584761139e-08,1.16874893326e-08,1.19929427587e-08
2019-12-24 20:40:18.299000,4.45018907911e-08,1.20420462692e-08,1.24551836552e-08
2019-12-24 20:55:18.299000,4.82045727385e-08,1.29176150647e-08,1.3308385044e-08
2019-12-24 21:10:18.299000,5.50464025639e-08,1.50862683979e-08,1.54179011973e-08
2019-12-24 21:25:18.299000,5.41991055405e-08,1.5633689886e-08,1.60121402098e-08
2019-12-24 21:40:18.299000,4.87885952537e-08,1.35519861432e-08,1.3946757341e-08
